indicator_id,indicator_label,area_code,area_name,value,unit,period,source,source_url,geography,feature_id_key,indicator_group,value_direction,interpretation,aggregation_method,mean_imd_rank,mean_imd_score,unweighted_mean_imd_rank,median_imd_rank,population_total,lsoa_count,local_authority_count,most_deprived_10_lsoa_count,most_deprived_10_lsoa_pct,most_deprived_20_lsoa_count,most_deprived_20_lsoa_pct,need_score,period_code,period_start,observation_status,deprivation_score,unemployment_rate,unemployment_score,deprivation_weight,unemployment_weight
social_need_composite,Composite social need score,E12000006,East of England,18.2,0-100 relative index,IMD 2019 + Feb 2026-Apr 2026,English Indices of Deprivation 2019 and Office for National Statistics Labour Force Survey via Nomis,https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv | https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need_composite,higher_is_higher_need,"Higher values indicate stronger relative social need across the nine English regions. This is an exploratory comparison score, not an official deprivation statistic or a measure of Fusion21 impact.",Equal-weight composite: 50% IMD population-weighted relative need index plus 50% min-max standardised regional unemployment rate. Both components use a 0-100 scale where higher means higher need.,,,,,,,,,,,,,,2026-04-01,,22.2,4.2,14.3,0.5,0.5
social_need_composite,Composite social need score,E12000007,London,87.2,0-100 relative index,IMD 2019 + Feb 2026-Apr 2026,English Indices of Deprivation 2019 and Office for National Statistics Labour Force Survey via Nomis,https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv | https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need_composite,higher_is_higher_need,"Higher values indicate stronger relative social need across the nine English regions. This is an exploratory comparison score, not an official deprivation statistic or a measure of Fusion21 impact.",Equal-weight composite: 50% IMD population-weighted relative need index plus 50% min-max standardised regional unemployment rate. Both components use a 0-100 scale where higher means higher need.,,,,,,,,,,,,,,2026-04-01,,74.5,6.6,100.0,0.5,0.5
social_need_composite,Composite social need score,E12000001,North East,78.6,0-100 relative index,IMD 2019 + Feb 2026-Apr 2026,English Indices of Deprivation 2019 and Office for National Statistics Labour Force Survey via Nomis,https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv | https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need_composite,higher_is_higher_need,"Higher values indicate stronger relative social need across the nine English regions. This is an exploratory comparison score, not an official deprivation statistic or a measure of Fusion21 impact.",Equal-weight composite: 50% IMD population-weighted relative need index plus 50% min-max standardised regional unemployment rate. Both components use a 0-100 scale where higher means higher need.,,,,,,,,,,,,,,2026-04-01,,100.0,5.4,57.1,0.5,0.5
social_need_composite,Composite social need score,E12000002,North West,69.0,0-100 relative index,IMD 2019 + Feb 2026-Apr 2026,English Indices of Deprivation 2019 and Office for National Statistics Labour Force Survey via Nomis,https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv | https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need_composite,higher_is_higher_need,"Higher values indicate stronger relative social need across the nine English regions. This is an exploratory comparison score, not an official deprivation statistic or a measure of Fusion21 impact.",Equal-weight composite: 50% IMD population-weighted relative need index plus 50% min-max standardised regional unemployment rate. Both components use a 0-100 scale where higher means higher need.,,,,,,,,,,,,,,2026-04-01,,95.1,5.0,42.9,0.5,0.5
social_need_composite,Composite social need score,E12000008,South East,0.0,0-100 relative index,IMD 2019 + Feb 2026-Apr 2026,English Indices of Deprivation 2019 and Office for National Statistics Labour Force Survey via Nomis,https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv | https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need_composite,higher_is_higher_need,"Higher values indicate stronger relative social need across the nine English regions. This is an exploratory comparison score, not an official deprivation statistic or a measure of Fusion21 impact.",Equal-weight composite: 50% IMD population-weighted relative need index plus 50% min-max standardised regional unemployment rate. Both components use a 0-100 scale where higher means higher need.,,,,,,,,,,,,,,2026-04-01,,0.0,3.8,0.0,0.5,0.5
social_need_composite,Composite social need score,E12000009,South West,26.5,0-100 relative index,IMD 2019 + Feb 2026-Apr 2026,English Indices of Deprivation 2019 and Office for National Statistics Labour Force Survey via Nomis,https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv | https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need_composite,higher_is_higher_need,"Higher values indicate stronger relative social need across the nine English regions. This is an exploratory comparison score, not an official deprivation statistic or a measure of Fusion21 impact.",Equal-weight composite: 50% IMD population-weighted relative need index plus 50% min-max standardised regional unemployment rate. Both components use a 0-100 scale where higher means higher need.,,,,,,,,,,,,,,2026-04-01,,31.6,4.4,21.4,0.5,0.5
social_need_composite,Composite social need score,E12000005,West Midlands,68.9,0-100 relative index,IMD 2019 + Feb 2026-Apr 2026,English Indices of Deprivation 2019 and Office for National Statistics Labour Force Survey via Nomis,https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv | https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need_composite,higher_is_higher_need,"Higher values indicate stronger relative social need across the nine English regions. This is an exploratory comparison score, not an official deprivation statistic or a measure of Fusion21 impact.",Equal-weight composite: 50% IMD population-weighted relative need index plus 50% min-max standardised regional unemployment rate. Both components use a 0-100 scale where higher means higher need.,,,,,,,,,,,,,,2026-04-01,,84.3,5.3,53.6,0.5,0.5
social_need_composite,Composite social need score,E12000003,Yorkshire and The Humber,76.8,0-100 relative index,IMD 2019 + Feb 2026-Apr 2026,English Indices of Deprivation 2019 and Office for National Statistics Labour Force Survey via Nomis,https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv | https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need_composite,higher_is_higher_need,"Higher values indicate stronger relative social need across the nine English regions. This is an exploratory comparison score, not an official deprivation statistic or a measure of Fusion21 impact.",Equal-weight composite: 50% IMD population-weighted relative need index plus 50% min-max standardised regional unemployment rate. Both components use a 0-100 scale where higher means higher need.,,,,,,,,,,,,,,2026-04-01,,82.2,5.8,71.4,0.5,0.5
unemployment_rate_lfs,ONS regional unemployment rate,E12000004,East Midlands,5.5,% of economically active people aged 16+,Feb 2026-Apr 2026,Office for National Statistics Labour Force Survey via Nomis,https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,"Higher values mean a larger share of economically active people are unemployed. This is a labour-market need indicator, not a measure of Fusion21 impact.",Latest seasonally adjusted three-month regional Labour Force Survey estimate. The unemployment-rate denominator is employment plus unemployment.,,,,,,,,,,,,,2026-04,2026-04-01,Normal Value,,,,,
unemployment_rate_lfs,ONS regional unemployment rate,E12000006,East of England,4.2,% of economically active people aged 16+,Feb 2026-Apr 2026,Office for National Statistics Labour Force Survey via Nomis,https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,"Higher values mean a larger share of economically active people are unemployed. This is a labour-market need indicator, not a measure of Fusion21 impact.",Latest seasonally adjusted three-month regional Labour Force Survey estimate. The unemployment-rate denominator is employment plus unemployment.,,,,,,,,,,,,,2026-04,2026-04-01,Normal Value,,,,,
unemployment_rate_lfs,ONS regional unemployment rate,E12000007,London,6.6,% of economically active people aged 16+,Feb 2026-Apr 2026,Office for National Statistics Labour Force Survey via Nomis,https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,"Higher values mean a larger share of economically active people are unemployed. This is a labour-market need indicator, not a measure of Fusion21 impact.",Latest seasonally adjusted three-month regional Labour Force Survey estimate. The unemployment-rate denominator is employment plus unemployment.,,,,,,,,,,,,,2026-04,2026-04-01,Normal Value,,,,,
unemployment_rate_lfs,ONS regional unemployment rate,E12000001,North East,5.4,% of economically active people aged 16+,Feb 2026-Apr 2026,Office for National Statistics Labour Force Survey via Nomis,https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,"Higher values mean a larger share of economically active people are unemployed. This is a labour-market need indicator, not a measure of Fusion21 impact.",Latest seasonally adjusted three-month regional Labour Force Survey estimate. The unemployment-rate denominator is employment plus unemployment.,,,,,,,,,,,,,2026-04,2026-04-01,Normal Value,,,,,
unemployment_rate_lfs,ONS regional unemployment rate,E12000002,North West,5.0,% of economically active people aged 16+,Feb 2026-Apr 2026,Office for National Statistics Labour Force Survey via Nomis,https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,"Higher values mean a larger share of economically active people are unemployed. This is a labour-market need indicator, not a measure of Fusion21 impact.",Latest seasonally adjusted three-month regional Labour Force Survey estimate. The unemployment-rate denominator is employment plus unemployment.,,,,,,,,,,,,,2026-04,2026-04-01,Normal Value,,,,,
unemployment_rate_lfs,ONS regional unemployment rate,E12000008,South East,3.8,% of economically active people aged 16+,Feb 2026-Apr 2026,Office for National Statistics Labour Force Survey via Nomis,https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,"Higher values mean a larger share of economically active people are unemployed. This is a labour-market need indicator, not a measure of Fusion21 impact.",Latest seasonally adjusted three-month regional Labour Force Survey estimate. The unemployment-rate denominator is employment plus unemployment.,,,,,,,,,,,,,2026-04,2026-04-01,Normal Value,,,,,
unemployment_rate_lfs,ONS regional unemployment rate,E12000009,South West,4.4,% of economically active people aged 16+,Feb 2026-Apr 2026,Office for National Statistics Labour Force Survey via Nomis,https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,"Higher values mean a larger share of economically active people are unemployed. This is a labour-market need indicator, not a measure of Fusion21 impact.",Latest seasonally adjusted three-month regional Labour Force Survey estimate. The unemployment-rate denominator is employment plus unemployment.,,,,,,,,,,,,,2026-04,2026-04-01,Normal Value,,,,,
unemployment_rate_lfs,ONS regional unemployment rate,E12000005,West Midlands,5.3,% of economically active people aged 16+,Feb 2026-Apr 2026,Office for National Statistics Labour Force Survey via Nomis,https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,"Higher values mean a larger share of economically active people are unemployed. This is a labour-market need indicator, not a measure of Fusion21 impact.",Latest seasonally adjusted three-month regional Labour Force Survey estimate. The unemployment-rate denominator is employment plus unemployment.,,,,,,,,,,,,,2026-04,2026-04-01,Normal Value,,,,,
unemployment_rate_lfs,ONS regional unemployment rate,E12000003,Yorkshire and The Humber,5.8,% of economically active people aged 16+,Feb 2026-Apr 2026,Office for National Statistics Labour Force Survey via Nomis,https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,"Higher values mean a larger share of economically active people are unemployed. This is a labour-market need indicator, not a measure of Fusion21 impact.",Latest seasonally adjusted three-month regional Labour Force Survey estimate. The unemployment-rate denominator is employment plus unemployment.,,,,,,,,,,,,,2026-04,2026-04-01,Normal Value,,,,,
